E(level)(keV),Jπ(level),T1/2(level),E(γ)(keV),I(γ),M(γ),Final Levels,
13529 5,2+,"61 keV 8 , % α = 100",,,,,
13530 15,(0+),"76 keV 32 , % α = 100",,,,,
13573 5,2+,"12 keV 5 , % α = 100",,,,,
13586 3,2+,"9 keV 1 , % p = ?, % α = ?",,,,,
13642 3,0+,"17 keV 1 , % p = ?, % α = ?",,,,,
13676.0 23,(2-),"4.5 keV 2 , % IT = ?, % p = ?, % α = ?",,,,,
13677 5,5-,"11 keV 2 , % α = 100",,,,,
13692 10,7-,"310 keV 30 , % α = 100",,,,,
13736.0 25,1+,"7.7 keV 5 , % IT = ?, % p = ?, % α = ?",,,,,
13744 20,0+,"≈ 80 keV, % α = 100",,,,,
13827 10,3-,"136 keV 15 , % α = 100",,,,,
13866 30,1-,"≈ 175 keV, % p = ?, % α = ?",,,,,
13881.0 23,2+,"0.14 keV 5 , % IT = ?, % p = ?, % α = ?","8912 23 ,   12243 23","80,    20",",","4966.51,      1633.674","2-, 2+"
13908 5,2+,"74 keV 10 , % α = 100",,,,,
13926.0 23,(0+),"3.5 keV 4 , % p = ?, % α = ?",,,,,
13928 5,6+,"65 keV 3 , % α = 100",,,,,
13948 10,0+,"79 keV 15 , % α = 100",,,,,
13965 5,4+,"8.1 keV 10 , % α = 100",,,,,
14020,1-,"≈ 70 keV, % p = ?, % α = ?",,,,,
14063.0 23,2+,"≈ 140 keV, % p = ?, % α = ?",,,,,
14115 5,2+,"42 keV 6 , % α = 100",,,,,
14128 2,2-,"4.7 keV 7 , % IT = ?, % p = ?, % α = ?",,,,,
14150.0 23,2-,"11.8 keV 10 , % IT = ?, % p = ?, % α = ?",,,,,
14200,1+,"14 keV 1 , % IT = ?, % p = ?",,,,,
14270 10,4+,"92 keV 9 , % α = 100",,,,,
14304 10,(6+),"60 keV 13 , % α = 100",,,,,
14311 5,6+,"117 keV 8 , % α = 100",,,,,
14313 15,(3-),"≈ 45 keV, % α = 100",,,,,
14370 3,,"≈ 5 keV, % p = ?, % α = ?",,,,,
14454 5,5-,"≈ 15 keV, % α = 100",,,,,
14455 3,"(0+,2+)","33 keV 3 , % p = ?, % α = ?",,,,,
14475 6,0+,"68 keV 2 , % p = ?, % α = ?",,,,,
14593 10,4+,"260 keV 25 , % α = 100",,,,,
14597 7,1-,"116 keV 5 , % p = ?, % α = ?",,,,,
14653 10,(0+),"25 keV, % p = ?, % α = ?",,,,,
14699.0 33,(1+),"36 keV 10 , % p = ?, % α = ?",,,,,
14731 10,(4+),"60 keV 25 , % α = 100",,,,,
14761 5,6+,"7.3 keV 48 , % α = 100",,,,,
14776 4,(1-),"110 keV 20 , % p = ?, % α = ?",,,,,
14807 5,6+,"86 keV 7 , % α = 100",,,,,
14816 5,5-,"117 keV 13 , % α = 100",,,,,
14839 10,(4+),"79 keV 15 , % α = 100",,,,,
14888 10,2+,"100 keV 30 , % p = ?, % α = ?",,,,,
15047 10,2+,"66 keV 20 , % p = ?, % α = ?",,,,,
15073 10,5-,"160 keV 25 , % α = 100",,,,,
15142 15,(2+),"≈ 60 keV, % α = 100",,,,,
15159 5,6+,"60 keV 15 , % α = ?",,,,,
15174 10,5-,"230 keV 25 , % α = 100",,,,,
15230,,"28 keV, % p = ?, % α = ?",,,,,
15270,(1-),"285 keV, % p = ?, % α = ?",,,,,
15330 5,4+,"34 keV 10 , % α = 100",,,,,
15346 15,6+,,,,,,
15366 5,7-,"110 keV 10 , % α = 100",,,,,
15436 15,(3-),"90 keV 20 , % p = ?, % α = ?",,,,,
15500,,"55 keV, % p = ?, % α = ?",,,,,
15700 15,(8-),% α = 100,,,,,
15874 9,8+,"100 keV 15 , % α = 100",,,,,
15970,(6+),% α = 100,,,,,
16010 25,(2+),"100 keV, % p = ?, % α = ?",,,,,
16139 15,,"38 keV, % α = 100",,,,,
16250,,% α = 100,,,,,
16329 11,4+,"45 keV, % p = ?, % α = ?",,,,,
16437 11,"(0,2,4)+","35 keV, % α = 100",,,,,
16505 15,6+,"24 keV 4 , % α = 100",,,,,
16559 15,5-,"90 keV 30 , % α = 100",,,,,
16581 15,7-,"92 keV 8 , % α = 100",,,,,
16628 20,3-,"80 keV 25 , % α = 100",,,,,
16630 20,(7-),% α = 100,,,,,
16667 15,4+,"100 keV 25 , % α = 100",,,,,
16717 15,5-,"≈ 25 keV, % α = 100",,,,,
16732.9 27,0+,"2.0 keV 5 , % IT = ?, % p = ?, % α = ?","5469 6 ,   10941 6 ,   15092 5","100,  ,",", ,","11262.3,      5787.7,      1633.674","1+, 1-, 2+"
16746 25,8+,"160 keV 50 , % α = 100",,,,,
16847 15,5-,"16 keV 8 , % α = 100",,,,,
16871 20,6+,"350 keV 50 , % α = 100",,,,,
17072 20,4+,"180 keV 30 , % α = 100",,,,,
17155 15,5-,"26 keV 5 , % α = 100",,,,,
17213 15,4+,"225 keV 30 , % α = 100",,,,,
17284 15,3-,"86 keV 25 , % α = 100",,,,,
17295 15,8+,"200 keV 25 , % α = 100",,,,,
17390 15,,"< 10 keV, % α = 100",,,,,
17430 15,9-,"220 keV 25 , % α = 100",,,,,
17541 15,6+,"86 keV 9 , % α = 100",,,,,
17550 10,(2+),"19 keV, % n = ?, % p = ?, % α = ?",,,,,
17606 15,5-,"140 keV 20 , % α = 100",,,,,
17769 20,4+,"≈ 125 keV, % p = ?, % α = ?",,,,,
17851 15,5-,"200 keV 30 , % α = 100",,,,,
17910 20,(0+),"% n = ?, % p = ?",,,,,
18005 15,7-,"< 10 keV, % α = 100",,,,,
18024 5,5-,"34 keV 7 , % α = 100",,,,,
18083 25,4+,"140 keV 60 , % α = 100",,,,,
18125 5,7-,"29 keV 6 , % α = 100",,,,,
18286 10,6+,"190 keV 30 , % α = 100",,,,,
18430 7,2+,"9.5 keV 30 , % IT = 3×10-3, % n = ?, % p = ?, % α = ?",6208 21,100,[M1],12221,2+
18430 20,7-,"185 keV 40 , % α = 100",,,,,
18494 20,5-,"130 keV 30 , % α = 100",,,,,
18538 7,8+,"138 keV 33 , % α = ?",,,,,
18621 20,8+,"185 keV 30 , % α = 100",,,,,
18745 25,6+,"140 keV 50 , % α = ?",,,,,
18768 20,7-,"140 keV 35 , % α = 100",,,,,
18960 25,8+,"200 keV 60 , % α = 100",,,,,
19051 15,5-,"≈ 90 keV, % α = 100",,,,,
19150 20,6+,"200 keV 50 , % α = 100",,,,,
19284 15,6+,"140 keV 25 , % α = 100",,,,,
19298 25,7-,"430 keV 60 , % α = 100",,,,,
19443 10,6+,"130 keV 15 , % α = 100",,,,,
19536 25,6+,"250 keV 60 , % α = 100",,,,,
19655 20,6+,"140 keV 35 , % α = 100",,,,,
19731 20,8+,"330 keV 60 , % α = 100",,,,,
19845 40,6+,"3.6×102 keV 12 , % α = 100",,,,,
19859 10,5-,"170 keV 25 , % α = 100",,,,,
19884 40,7-,"≈ 120 keV, % α = 100",,,,,
19991 30,4+,"1.3×102 keV 10 , % α = 100",,,,,
20027 15,6+,"80 keV 35 , % α = 100",,,,,
20106 25,7-,"190 keV 35 , % α = 100",,,,,
201.5E+2 15,,"% IT = ?, % n = ?",,,,,
20168 35,6+,"2.9×102 keV 10 , % α = 100",,,,,
20296 15,7-,"255 keV 40 , % α = 100",,,,,
20341 20,5-,"190 keV 40 , % α = 100",,,,,
20344 15,7-,"135 keV 35 , % α = 100",,,,,
20419 30,6+,"215 keV 90 , % α = 100",,,,,
20445 25,6+,"370 keV 55 , % α = 100",,,,,
20468 30,5-,"280 keV 70 , % α = 100",,,,,
20686 6,9-,"78 keV 11 , % α = 100",,,,,
20760 30,7-,"240 keV 50 , % α = 100",,,,,
20800 25,5-,"170 keV 60 , % α = 100",,,,,
20950 40,7-,"300 keV 50 , % α = 100",,,,,
21062 6,9-,"60 keV 6 , % α = 100",,,,,
2130E+1 10,7-,"300 keV, % α = 100",,,,,
2180E+1 10,7-,"300 keV, % α = 100",,,,,
2230E+1 10,7-,"500 keV, % α = 100",,,,,
2260E+1 30,,"% IT = ?, % n = ?",,,,,
22800 60,9-,"500 keV, % α = 100",,,,,
22870 40,9-,"225 keV 40 , % α = 100",,,,,
2340E+1 20,8+,"500 keV, % α = 100",,,,,
23700 30,(9-),"≤ 200 keV, % α = 100",,,,,
24210 25,8+,"350 keV, % α = 100",,,,,
2490E+1 50,,"% IT = ?, % n = ?",,,,,
25100 50,8+,"≈ 200 keV, % α = 100",,,,,
25670 50,,"≈ 400 keV, % α = 100",,,,,
2710E+1 10,(9-),"700 keV, % α = 100",,,,,
27500,10+,"% IT = ?, % n = ?",,,,,
28000,8+,"1600 keV, % α = 100",,,,,
2820E+1 30,,"700 keV, % α = 100",,,,,
