Nucleus      Ex   T1/2      Jπ       m(nm)             Method      NSR_Keynumber       Journal_Reference
52 Te 117     274      19.9 ns   5/2+     -0.787(12)     TDPAD        1981Io07            HFI 9 71 (81)


52 Te 120     560      9.3 ps     2+       +0.58(11)      TF          1981Sh15          PR C24 954 (81)


52 Te 121     443      85.3 ns   7/2+     +0.738(10)     TDPAD        1980Io01           PL 90B 65 (80)


52 Te 122     564      7.46 ps    2+       +0.70(3)       TF          2007St24         PR C76 034306 (07)


52 Te 123     159      0.20 ns   3/2+      0.72(12)      IPAC        1970Ro31           ZP A240 396 (70)
52 Te 123     440      22 ps     3/2+      +0.51(9)      IMPAC       1974Ro40           NP A236 165 (74)
HFI 9 71 (81)/RRou 26
52 Te 123     489      30.7 ns   7/2+     +0.787(14)     TDPAD    1981Io07/1981Io05
239 (81)
52 Te 123     506      13.5 ps   5/2+      +0.10(6)      IMPAC       1974Ro40           NP A236 165 (74)


52 Te 124     603      6.2 ps     2+       +0.66(4)       TF          2007St24         PR C76 034306 (07)


52 Te 125     35       1.48 ns   3/2+      +0.605(4)      ME          1975Bo51          PL 54A 293 (75)
52 Te 125     321      673 ps    9/2-      -0.95(3)      IPAC         1970Cr07          NP A154 369 (70)
52 Te 125     443      19 ps     3/2+      +0.89(7)       TF          2017St11        PR C96 014321 (2017)
52 Te 125     463      13 ps     5/2+      +0.52(6)       TF          2017St11        PR C96 014321 (2017)


52 Te 126     666      4.52 ps    2+       +0.68(3)       TF          2007St24         PR C76 034306 (07)
52 Te 126     2974      10.7 ns   10+       -1.52(9)      TDPAD       1983Go02           YadF 37 257 (83)


52 Te 127     341      0.41 ns   9/2-      -0.98(15)     IPAC        1985De04           PR C31 593 (85)


52 Te 128     743      3.3 ps     2+       +0.64(3)       TF          2007St24         PR C76 034306 (07)


52 Te 130     839      2.3 ps     2+       +0.70(4)       TF          2007St24         PR C76 034306 (07)


52 Te 132     974      1.8 ps     2+       +0.70(10)      RIV         2005St18         PRL 94 192501 (05)
52 Te 132     1775      145 ns     6+        +4.7(5)      TDPAC        1986Fo02          NP A451 104 (86)


PR C88
52 Te 134    1279      0.79 ps    2+       1.52(18)       RIV         2013St24
051304(R)(2013)
52 Te 134    1576      1.4 ns     4+         3(2)        IPAC        2008Go28          PR C78 044331 (08)
52 Te 134    1691      164 ns     6+       +5.08(15)     FDPAC       1976Wo03           PRL 36 1072 (76)


PR C96 014321
"52 Te 136     606      19 ps      2+     0.68(+16,-12)    RIV         2017St11"
(2017)


53 I 119      307      35 ns     9/2+      +5.40(14)     TDPAD       1982Da17           NP A383 421 (82)




32
Nucleus     Ex (keV)    T1/2         I         munm      Method   NSR Keynumber    Journal Reference
53 I 121     2353      80 ns      (21/2+)     +12.6(11)   TDPAD      1982Ha46       NP A389 341 (82)


53 I 123     2660      27 ns       21/2+      +10.9(9)    TDPAD          L         Cf83Gron NP14 (83)


53 I 125      188      0.34 ns     3/2+       +1.08(7)    IPAC       1973Ka37        ZP 265 65 (73)


"53 I 126      111      56 ns     1+,2+,3+     -2.24(2)    TDPAD          L           PC75 Block (75)"


53 I 127      58       1.95 ns     7/2+       +2.54(5)     ME        1972Wo13        PR C6 228 (72)
53 I 127      203      0.39 ns     3/2+       +0.97(7)    IPAC       1976Le23       HPAc 49 661 (76)


53 I 128      138      845 ns       4-        -0.72(3)    IPAC       1982Al10         IzF 46 52 (82)


53 I 129      28       16.8 ns     5/2+       +2.805(3)    ME        1981De35       PL 106B 457 (79)


53 I 130      85       254 ns       (6-)      -0.24(2)    TDPAD          L           PC75 Bloch (75)


53 I 131      150      0.95 ns      5/2+       +2.8(5)    IPAC       1967Ta07       NP A102 203 (67)
"53 I 131      1797     5.9 ns      9/2,11/2,13/2-     -1.2(4)    IPAC       1967Ta07       NP A102 203 (67)"




53 I 132      50       7.14 ns      3+        +2.06(18)   TDPAC      2009Ta23      PR C80 034304 (09)
53 I 132      278      1.42 ns      1+        +1.88(11)   TDPAC      1979Oo01       NP A321 180 (79)


54 Xe 123     185      5.5 mus      7/2(-)     -0.902(7)   TDPAD      1982Ze05       ZP A308 227 (82)


54 Xe 124     354      47 ps        2+        +0.50(4)    IMPAC      1975Go18       PR C12 628 (75)


54 Xe 125     296      140 ns      7/2+       +0.93(4)    TDPAD      1983Al21        ZP A314 17 (83)


54 Xe 126     389      40.8 ps      2+        +0.54(8)    IMPAC      1975Go18       PR C12 628 (75)


54 Xe 127     342      37 ns       7/2+       +0.85(3)    TDPAD      1984Lo07       ZP A317 215 (84)


54 Xe 128     443      18 ps        2+        +0.68(7)    IMPAC      1975Go18       PR C12 628 (75)
54 Xe 128     2787      83 ns        8-        -0.29(7)    TDPAD      1984Lo07       ZP A317 215 (84)


54 Xe 129     40       0.97 ns     3/2+       +0.58(8)     ME        1974VaYZ      JPCo 35 C6-301 (74)


54 Xe 130     538      8.6 ps       2+        +0.67(10)    TF        2002Ja02      PR C65 024316 2002
54 Xe 130     1122      4.6 ps       2+         +0.9(2)     TF        2002Ja02      PR C65 024316 2002
54 Xe 130     1205      2.4 ps       4+         +1.7(4)     TF        2002Ja02      PR C65 024316 2002
54 Xe 130     2972      5.1 ns       10+       -2.05(14)   TDPAD      1983Go02       YadF 37 257 (83)


54 Xe 132     668      4.6 ps       2+        +0.63(10)    TF        2002Ja02      PR C65 024316 2002
54 Xe 132     1298      3.0 ps       2+         +0.2(4)     TF        2002Ja02      PR C65 024316 2002
54 Xe 132     1440      1.8 ps       4+         +2.4(6)     TF        2002Ja02      PR C65 024316 2002
54 Xe 132     2214      87 ns        7-        -0.06(3)    TDPAD      1986Vo14       YadF 44 849 (86)


33
Nucleus     Ex (keV)    T1/2       I       munm       Method   NSR Keynumber     Journal Reference
54 Xe 132     2752      8.4 ms     10+     (-)1.95(5)   TDPAD      1976Ha50        ZP A278 303 (76)


54 Xe 134     847      2.08 ps    2+      +0.71(10)     TF        2002Ja02      PR C65 024316 2002
54 Xe 134     1731      2.2 ps     4+       +3.2(8)      TF        2002Ja02      PR C65 024316 2002


54 Xe 136    1313      0.36 ps    2+      +1.53(24)     TF        2002Ja02      PR C65 024316 2002
54 Xe 136    1694      1.29 ns    4+       3.2(6)      IPAC       1985Be04        PR C31 570 (85)


54 Xe 140     377      70 ps      2+       1.1(4)      IPAC       2009Go09       PR C79 034316 (09)


54 Xe 142     287      0.20 ns    2+       0.8(3)      IPAC       2009Go09       PR C79 034316 (09)


55 Cs 127     66       24.9 ns   (5/2)+    2.7(5)      TDPAC      1999Co22      NIMPR B152 357 (99)


55 Cs 129     575      718 ns    11/2-    +6.55(10)    TDPAD      1978De29        PR C18 2061 (78)


55 Cs 131     134      8.6 ns    5/2+     +1.86(8)     TDPAC      1973AoZZ        JPJS 34 427 (73)


55 Cs 133     81       6.28 ns   5/2+     +3.45(2)      ME        1968Ca03        NP A109 59 (68)
55 Cs 133     161      172 ps    5/2+     +2.25(15)    IPAC       1979Th02        NP A318 97 (79)


55 Cs 134     11       47 ns      5+      +3.35(7)     TDPAC      1970DrZX        Cf70Delft 549 (70)


56 Ba 129     182      15.2 ns    9/2-    -0.86(3)     TDPAD      2013Ka27      PR C87 064312 (2013)
56 Ba 129     2462      47 ns     23/2+    -2.68(8)     TDPAD      2013Ka27      PR C87 064312 (2013)


56 Ba 130     357      42 ps      2+      +0.70(10)     TF        1980Br01        PR C21 574 (80)


56 Ba 132     465      15.1 ps    2+      +0.68(10)     TF        1980Br01        PR C21 574 (80)
56 Ba 132     3116      8.9 ns     10+     -1.59(5)     TDPAD      1996Da02        PR C53 1009 (96)


56 Ba 133     12       7.0 ns    3/2+     +0.51(7)     XHFS       1981Gr18        ZETF 80 120 (81)


56 Ba 134     605      5.1 ps     2+      +0.86(10)     TF        1980Br01        PR C21 574 (80)
56 Ba 134     2957      2.6 mus     10+      -2.0(1)     TDPAD      1982BeZY        BAPS 27 27 (82)


56 Ba 136     818      1.93 ps    2+      +0.69(10)     TF        1980Br01        PR C21 574 (80)
56 Ba 136     2140      1.6 ns      5-      -1.9(2)     IPAC       1979Oh03         HFI 7 103 (79)


56 Ba 138    1436      0.20 ps    2+       +1.4(2)      TF        1987Ba65        ZP A328 275 (87)
56 Ba 138    1899      2.16 ns    4+       3.2(6)      IPAC       1985Be04        PR C31 570 (85)
56 Ba 138    2091      0.8 mus     6+       5.9(12)     TDPAD      1976Ik04         HFI 2 331 (76)


56 Ba 142     360      65 ps      2+      0.85(10)     IPAC       1988Wo03        PR C37 1253 (88)


56 Ba 143     117      3.5 ns     9/2-     +0.5(3)     IMPAC      1999Sm05        PL B453 206 (99)




34
Nucleus     Ex (keV)    T1/2        I       munm       Method    NSR Keynumber   Journal Reference
56 Ba 144     199      0.71 ns     2+      0.68(10)      IPAC       1983Wo05       PL 123B 165 (83)


56 Ba 145     113      0.2 ns    (7/2)-    -1.4(10)     IMPAC       1999Sm05       PL B453 206 (99)


56 Ba 146     181      0.86 ns     2+      0.56(14)      IPAC       1983Wo05       PL 123B 165 (83)


57 La 130     319      33 ns       6+       +2.9(2)     TDPAD       2014Io01      PR C90 014323 (14)


57 La 131    2121      38 ns     21/2-     +11.20(4)    TDPAD       2017Ka03      PL B765 317 (2014)


57 La 133     536      62 ns     11/2-      7.5(5)      TDPAC       1979BuZW       CF79Riga 81 (79)


57 La 135    2737      26 ns     (23/2-)    0.0(2)      TDPAD       1976Le29       IzF 40 1249 (76)


57 La 137    1870      342 ns    19/2-     +2.34(6)     TDPAD       1982KiZV       BAPS 27 728 (82)


57 La 138     73       116 ns      3+      +2.89(5)     TDPAD       1979Bo11       ZP A291 49 (79)


58 Ce 126    2199       8 ps      (9-)      (+)7(3)      IPAD       1987IsZS       Cf87Melb. 93 (87)
58 Ce 126    2629       4 ps     (11-)      (+)8(4)      IPAD       1987IsZS       Cf87Melb. 93 (87)


58 Ce 129     108      60 ns     (7/2-)    -0.65(4)     TDPAD       1998Io01       NP A633 459 (98)


58 Ce 131     162      88 ns      9/2-     -0.85(3)     TDPAD       1998Io01       NP A633 459 (98)


"58 Ce 134    3209      308 ns     10+      -1.87(2)    TDPAD, R     1984Be68       PL 101A 507 (84)"
58 Ce 134    3719      5.8 ps     10+        -3(3)      IMPAD       1982Ze04       NP A383 165 (82)


58 Ce 135    2125      8.2 ns    19/2+     -0.66(10)    IPAD        1982Ze01       ZP A304 269 (82)


58 Ce 136    3095      2.2 mus     10+      -1.80(2)     TDPAD       1980Ba68       PRL 45 1015 (80)


58 Ce 138    3539      81 ns      10+      -1.70(3)     TDPAD       1980Ba68       PRL 45 1015 (80)


58 Ce 139    2631      70 ns     19/2-     +3.99(6)     TDPAD       1980Ba68       PRL 45 1015 (80)


58 Ce 140    1596       92 fs      2+       +1.9(3)      TF         1991Ba38       NP A533 541 (91)
58 Ce 140    2083      3.4 ns      4+      4.06(15)     TDPAC       1965Le16       PR 140 B811 (65)
58 Ce 140    3715      23 ns      10+      +10.3(4)     TDPAD       1988Ka04       ZP A329 143 (88)


58 Ce 142     641      5.6 ps      2+      +0.42(10)     TF         1991Ba38       NP A533 541 (91)


58 Ce 146     258      0.23 ns     2+       0.9(2)       IPAC       2009Go09      PR C79 034316 (09)


58 Ce 148     158      1.01 ns     2+      0.74(12)     IPAC        1986Gi05       PR C33 1030 (86)


58 Ce 150     306      0.3 ns      4+      +3.2(16)     IMPAC       1999Sm05       PL B453 206 (99)



35
Nucleus     Ex (keV)    T1/2        I      munm      Method   NSR Keynumber   Journal Reference


59 Pr 136     595      91.7 ns     6+     +3.42(11)   TDPAD      1993Ba42      NP A603 50 (96)


59 Pr 139     822       43 ns     11/2-    +6.6(5)    TDPAD      1979Ke07      ZP A291 319 (79)
59 Pr 139     822       43 ns     11/2-    +7.2(6)    TDPAD      1982Ri09      PRL 48 516 (82)


59 Pr 141     145      1.85 ns    7/2+    +2.95(9)     ME        1976St73      JPCR 5 1093 (76)
59 Pr 141     1118       4.8 ns    11/2-    +6.2(4)    TDPAD      1984Go12       ZETF 87 3 (84)
59 Pr 141     1796       1.0 ns    15/2+     +8(2)     IPAD       1984Go12       ZETF 87 3 (84)


59 Pr 143     57        4.1 ns    5/2+     +3.4(1)    TDPAC      1977Ne12       HFI 3 147 (77)


59 Pr 144     80       0.136 ns    1-      -1.2(4)    IPAC       1975Ba32       PS 11 363 (75)


60 Nd 134     295       64 ps      2+      +1.2(4)    IMPAD      1987Bi13      PR C36 974 (87)


60 Nd 135     199       39 ps     11/2-    -0.5(3)    IMPAD      1987Bi13      PR C36 974 (87)


60 Nd 136    3297       51 ps     10+      +11(4)     IMPAD      1987Bi13      PR C36 974 (87)
60 Nd 136    3687       19 ps     12+      +14(5)     IMPAD      1987Bi13      PR C36 974 (87)


60 Nd 138    3175      0.41 mus    10+     -1.74(4)    TDPAD      1982Ri09      PRL 48 516 (82)


60 Nd 140    3621       22 ns     10+     -1.92(12)   TDPAD      1980Me11      NP A346 281 (80)


60 Nd 142    1576       110 fs     2+      +1.7(2)     TF        1991Ba38      NP A533 541 (91)


60 Nd 143    1228      6.79 ns    13/2+   +0.38(3)    IPAD       1994KA23      ZP A348 173 (94)
60 Nd 143    2911      0.48 ns    21/2+   +7.2(13)    IPAD       1994KA23      ZP A348 173 (94)


60 Nd 144     697      2.97 ps     2+     +0.40(4)     TF        2001Ho02       PR C63 024315
60 Nd 144     1314       7.4 ps     4+     +0.52(15)    TF        2001Ho02       PR C63 024315
60 Nd 144     1791       21 ps      6+     -3.4(14)     TF        2001Ho02       PR C63 024315


60 Nd 145     72       0.72 ns    5/2-    -0.320(4)    ME        1970Ka36      ZP 240 100 (70)


60 Nd 146     454      20.9 ps     2+     +0.58(6)     TF        2001Ho02       PR C63 024315
60 Nd 146     1043        4 ps      4+     +0.77(13)    TF        2001Ho02       PR C63 024315


60 Nd 148     302       80 ps      2+     +0.72(7)     TF        2001Ho02       PR C63 024315
60 Nd 148     752       6.9 ps     4+     +1.44(18)    TF        2001Ho02       PR C63 024315
60 Nd 148     1280       2.9 ps     6+      +1.6(3)     TF        2001Ho02       PR C63 024315


60 Nd 150     130      1.48 ns     2+     +0.84(9)     TF        2001Ho02       PR C63 024315
60 Nd 150     381       60 ps      4+      +1.8(2)     TF        2001Ho02       PR C63 024315
60 Nd 150     720       12 ps      6+      +2.1(5)     TF        2001Ho02       PR C63 024315
60 Nd 150     1130       ~2 ps      8+     +4.5(11)     TF        2001Ho02       PR C63 024315



36
 Nucleus    Ex (keV)    T1/2       I       munm       Method    NSR Keynumber   Journal Reference


61 Pm 143     960      24 ns     11/2-     +6.8(4)     TDPAD       1984Go12       ZETF 87 3 (84)
61 Pm 143     1898      10.5 ns   15/2+     +7.7(4)     TDPAD       1984Go12       ZETF 87 3 (84)


61 Pm 147     91       2.5 ns    5/2+     3.55(10)       ME        1970Ba39      PL 32B 678 (70)


61 Pm 149     114      2.53 ns   5/2+      2.0(2)       IPAC       1970Se11      NP A159 494 (70)
61 Pm 149     270      2.59 ns   7/2-      3.6(2)       IPAC       1970Se11      NP A159 494 (70)


61 Pm 151     256      0.93 ns   3/2+      1.8(2)       IPAC       1977Se06      NP A282 302 (77)


62 Sm 140    3172      19.4 ns   10+       -1.8(2)     TDPAD       1988Ba22      PL 206B 404 (88)
62 Sm 140    3210      5.2 ns    10+      +12.7(9)     TDPAD       1988Ba22      PL 206B 404 (88)


62 Sm 144    1660       84 fs     2+       +1.6(3)       TF        1991Ba38      NP A533 541 (91)
62 Sm 144    1810      25 ps      3-       +2.3(4)       TF        1990Ba41       HFI 59 133 (90)


62 Sm 147     121      0.80 ns   5/2-     -0.45(3)       ME        1971Pa04       PR C3 841 (71)


62 Sm 148     550      7.7 ps     2+      +0.54(7)       TF        1987Ba65      ZP A328 275 (87)


62 Sm 149     23       7.3 ns    5/2-    -0.6200(11)     ME        1970EiZY       Cf70HI 720 (70)


62 Sm 150     334      48 ps      2+      +0.82(6)       TF        1987By02       PL 26B 81 (67)
62 Sm 150     773      6.5 ps     4+     +1.40(20)       TF        1987By02      PR C48 2640 (93)
62 Sm 150     1046      0.9 ps     2+     +0.72(16)       TF        1987By02      NP A466 419 (87)
62 Sm 150     1194      1.3 ps     2+     +0.82(14)       TF        1987By02      NP A466 419 (87)
62 Sm 150     1279      2.4 ps     6+       +2.3(5)       TF        1987By02      PR C48 2640 (93)


62 Sm 151     92       78 ns     9/2+     -0.95(5)     TDPAC       1974Dr03      NP A223 195 (74)
62 Sm 151     105      0.48 ns   3/2-    +0.31(11)      IPAC       1971Be23       IzF 35 135 (71)
"62 Sm 151     168      0.38 ns   5/2+      +1.8(5)     IPAC, R     1974Dr03      NP A223 195 (74)"


62 Sm 152     122      1.40 ns    2+      +0.83(5)       ME        1967At04       PL 26B 81 (67)
62 Sm 152     366      57.7 ps    4+       +1.6(2)       TF        1987By02      NP A466 419 (87)
62 Sm 152     707      10.3 ps    6+       +2.3(4)       TF        1987By02      NP A466 419 (87)
62 Sm 152     810      7.4 ps     2+     +0.76(20)       TF        1987By02      NP A466 419 (87)
62 Sm 152     1086      1.09 ps    2+     +0.82(20)       TF        1987By02      NP A466 419 (87)
62 Sm 152     1125      3.06 ps    8+       +2.8(6)       TF        1987By02      NP A466 419 (87)
62 Sm 152     1609      1.38 ps   10+       +4(2)         TF        1987By02      NP A466 419 (87)


62 Sm 154     82       3.0 ns     2+      +0.78(4)       ME        1969Wh04      PR 186 1280 (69)
62 Sm 154     267      172 ps     4+     +1.35(15)     IMPAC       1972Ku10      NP A186 513 (72)
62 Sm 154     544      22.7 ps    6+       +1.9(3)     IMPAC       1972Ku10      NP A186 513 (72)


63 Eu 142   283+x    6.2 ns     8+      (+)4.1(2)    TDPAD       1993Bi13      ZP A346 181 (93)




37
 Nucleus    Ex (keV)    T1/2        I       munm        Method      NSR Keynumber   Journal Reference
63 Eu 145     716      0.49 mus    11/2-    +7.46(4)      TDPAD         1980Kl07       NP A350 61 (80)


63 Eu 147     625      765 ns     11/2-    +7.04(3)      TDPAD         1980Ba67       PL 77A 365 (80)


63 Eu 148     720      162 ns      9+      +6.12(5)      TDPAD         1980Ba67       PL 77A 365 (80)


63 Eu 149     496      2.45 mus    11/2-    +7.0(3)       TDPAD         1980Kl07       NP A350 61 (80)


63 Eu 151     22        9.6 ns    7/2+    +2.585(1)        ME          1972Cr09      ZP A256 155 (72)


63 Eu 153     83       0.79 ns    7/2+     +1.81(6)        ME          1969Ri02      ZP A218 223 (69)
63 Eu 153     97       198 ps     5/2-     +3.2(2)         ME          1966At01       PR 145 915 (66)
63 Eu 153     103      3.85 ns    3/2+    +2.040(3)        ME          1972Cr09       ZP 256 155 (72)


63 Eu 155     104      0.104 ns   5/2-     +9.6(10)       IPAC         1971Be23       IzF 35 2295 (71)


64 Gd 144    3433      145 ns     10+     +12.76(14)     TDPAD         1979Ha15      PRL 42 1451 (79)


64 Gd 146    1579       1.1 ns     3-      +2.1(9)       TDPAD         1979Ke03      ZP A290 229 (79)
64 Gd 146    2982       6.7 ns     7-      +9.0(2)       TDPAD         1979Ha15      PRL 42 1451 (79)
"64 Gd 146    8916       4.3 ns     20-     +13(2)       TDPAD, R       1979Ha15      PRL 42 1451 (79)"


64 Gd 147     997      21.4 ns    13/2+    +0.49(2)      TDPAD         1987Da27       PL 199B 26 (87)
64 Gd 147     2760       4.5 ns    21/2+    +7.6(12)      TDPAD         1979Ha15      PRL 42 1451 (79)
64 Gd 147     3582       27 ns     27/2-    +11.3(2)      TDPAD         1979Ha15      PRL 42 1451 (79)
64 Gd 147     8587      510 ns     49/2+    +10.9(2)      TDPAD         1979Ha15      PRL 42 1451 (79)
64 Gd 147     10993      0.8 ns    59/2-    +11(2)          TF          1989Ha15      PR 39C 2237 (89)


64 Gd 148    2695      16.6 ns     9-      -0.16(2)      TDPAD         1987Da27       PL 199B 26 (87)


"64 Gd 149     165       1.7 ns    5/2-     -0.9(2)     IPAC, TDPAC     1977GrZF      Cf77Tokyo 379 (77)"


"64 Gd 151     108       2.8 ns    5/2-    -1.08(13)    IPAC, TDPAC     1977GrZF      Cf77Tokyo 379 (77)"
64 Gd 151     395      0.29 ns    3/2-     -2.5(8)        IPAC         1977GrZF      Cf77Tokyo 379 (77)


64 Gd 152     344      32.0 ps     2+      +0.96(8)       RIG/V        1974Ar23      NP A233 385 (74)
64 Gd 152     755       7.3 ps     4+      +2.1(5)         TF          1999Ma06       PR C59 665 (99)


"64 Gd 153     110      0.24 ns    5/2-    +0.40(15)    IPAC, TDPAC     1977GrZF      Cf77Tokyo 379 (77)"
64 Gd 153     129      2.52 ns    3/2-     +0.37(7)       IPAC         1977Ba63        HFI 3 423 (77)


64 Gd 154     123      1.18 ns     2+      +0.96(6)                    1974Ar23      NP A233 385 (74)


64 Gd 155     87       6.50 ns    5/2+    -0.525(2)        ME          1978Co23        HFI 5 479 (78)
64 Gd 155     105      1.16 ns    3/2+    +0.143(5)        ME          1978Co23        HFI 5 479 (78)
64 Gd 155     146      101 ps     7/2-     +0.4(4)         TF          1998St28      NP A642 361 (98)
64 Gd 155     252       58 ps     9/2-     +1.2(3)         TF          1998St28      NP A642 361 (98)



38
 Nucleus    Ex (keV)    T1/2        I        munm      Method    NSR Keynumber       Journal Reference
64 Gd 155     392      23 ps      11/2-     +1.5(3)      TF          1998St28         NP A642 361 (98)
64 Gd 155     534      15 ps      13/2-     +1.9(3)      TF          1998St28         NP A642 361 (98)
64 Gd 155     730      5.8 ps     15/2-     +2.6(5)      TF          1998St28         NP A642 361 (98)
64 Gd 155     897      4.9 ps     17/2-     +2.2(9)      TF          1998St28         NP A642 361 (98)
64 Gd 155     1142      2.4 ps     19/2-    +2.9(10)      TF          1998St28         NP A642 361 (98)


64 Gd 156     89       2.21 ns     2+      +0.774(8)     ME          1974Ar23         NP A233 385 (74)
64 Gd 156     288      112 ps      4+      +1.55(14)     TF          1991St01         ZP A338 135 (91)
64 Gd 156     585      15.8 ps     6+       +2.2(4)      TF          1991St01         ZP A338 135 (91)
64 Gd 156     965      4.3 ps      8+       +2.7(4)      TF          1992Br07         PR C45 1549 (92)
64 Gd 156     1511      189 ps      4+      +3.24(11)    IPAC         1988Al33         ZP A331 277 (88)


64 Gd 157     64       0.46 mus    5/2+     -0.464(11)    ME          1974Ar23         NP A233 385 (74)


64 Gd 158     80       2.52 ns     2+      +0.762(8)     ME          1988Al33         ZP A331 277 (88)
64 Gd 158     261      148 ps      4+      +1.55(12)     TF          1991St01         ZP A338 135 (91)
64 Gd 158     539      16 ps       6+        2.3(3)      TF          1991St01         ZP A338 135 (91)
64 Gd 158     904      5.1 ps      8+        3.4(5)      TF          1992Br07         PR C45 1549 (92)


64 Gd 160     75       2.72 ns     2+      +0.72(4)     RIGV         1974Ar23         NP A233 385 (74)
64 Gd 160     248         ? ?        4+        1.5(2)      TF          1991St01         ZP A338 135 (91)
64 Gd 160     515         ? ?       6+        2.3(3)      TF          1991St01         ZP A338 135 (91)


65 Tb 149    2518      2.4 ns    (27/2)+     4.9(12)    IPAD         1990Ad02          JPJa 59 66 (90)


66 Dy 149    8521      28 ns     (49/2)    +10.0(15)    TDPAD        2003Wa28        NP A728 365 (2003)


66 Dy 152    6129      9.5 ns     21-      +11.6(12)    TDPAD        1979Me01          PRL 42 23 (79)


66 Dy 158     99       1.66 ns     2+      +0.72(5)     IPAC         1993Al09         ZP A345 273 (93)
66 Dy 158     317      72 ps       4+      +1.33(10)    IPAC         1997Al04          ZP A357 13 (97)
66 Dy 158     1044      2.9 ps      8+      +3.3(10)      TF          1983Se09          ZP A357 13 (97)


66 Dy 160     87       2.02 ns     2+      +0.70(3)     TDPAC        1984Si07          PR C8 757 (73)
66 Dy 160     284      104 ps      4+      +1.60(12)    IPAC         1997Al04          ZP A357 13 (97)
66 Dy 160     581      18.6 ps     6+       +2.1(3)      TF          1999Br43         EurPJ A6 149 (99)
66 Dy 160     966      1.31 ps     2+      +0.80(13)     TF          1999Br43         EurPJ A6 149 (99)
66 Dy 160     967      3.8 ps      8+       +2.7(4)      TF          1999Br43         EurPJ A6 149 (99)
66 Dy 160     1428      1.56 ps    10+       +3.1(6)      TF          1999Br43         EurPJ A6 149 (99)
66 Dy 160     1950      0.89 ps    12+      +3.6(11)      TF          1999Br43         EurPJ A6 149 (99)


66 Dy 161     26       29.1 ns    5/2-     +0.594(3)     ME          1976St23         JPCR 5 1093 (76)
66 Dy 161     44       0.83 ns    7/2+     -0.140(5)     ME          1976St23         JPCR 5 1093 (76)
66 Dy 161     75       3.14 ns    3/2-     -0.403(4)     ME          1976St23         JPCR 5 1093 (76)


NP A151 401 (70)/PR
66 Dy 162     81       2.19 ns     2+      +0.69(3)     RIGV     1970Be36/1973Ka25
C8 757 (73)
66 Dy 162     549      18.4 ps     6+       +2.2(3)      TF          1999Br43         EurPJ A6 149 (99)


39
 Nucleus    Ex (keV)    T1/2        I       munm      Method   NSR Keynumber    Journal Reference
66 Dy 162     888       2.0 ps     2+     +0.92(15)     TF        1999Br43       EurPJ A6 149 (99)
66 Dy 162     921       4.2 ps     8+      +3.0(3)      TF        1999Br43       EurPJ A6 149 (99)
66 Dy 162     1375       1.6 ps    10+      +3.6(7)      TF        1999Br43       EurPJ A6 149 (99)


66 Dy 164     73       2.39 ns     2+      +0.68(2)     ME        1968Mu01        ZP 208 184 (68)
66 Dy 164     242      0.20 ns     4+      +1.5(5)      TF        1989Do12        HFI 110 313 (97)
66 Dy 164     501      27.2 ps     6+      +2.0(3)      TF        1999Br43       EurPJ A6 149 (99)
66 Dy 164     762       4.6 ps     2+     +0.76(13)     TF        1999Br43       EurPJ A6 149 (99)
66 Dy 164     844       7.2 ps     8+      +2.5(4)      TF        1999Br43       EurPJ A6 149 (99)
66 Dy 164     1261       2.3 ps    10+      +3.1(7)      TF        1999Br43       EurPJ A6 149 (99)


67 Ho 165     95        22 ps     9/2-      4.1(2)      ME        1972Ge21         ZP 257 29 (72)


67 Ho 166     54        3.4 ns     2-     +0.068(10)   IPAC       1979Ba40        NP A331 75 (79)


68 Er 154    3025       39 ns      11-    +0.167(13)   TDPAD      1984Ra11        PR C30 169 (84)


68 Er 155     563      34.8 ns    13/2+    -0.55(3)    TDPAD      1984Ra11        PR C30 169 (84)


68 Er 164     92       1.48 ns     2+     0.694(15)     ME        1976St23       JPCRD 5 835 (76)
68 Er 164     299       86 ps      4+      +1.4(2)      TF        1996Br09       NP A600 272 (96)
68 Er 164     614        ? ?       6+      +1.9(3)      TF        1996Br09       NP A600 272 (96)
68 Er 164     860       1.9 ps     2+     +0.81(14)    TF        1996Br09       NP A600 272 (96)
68 Er 164     1025       2.6 ps     8+      +2.7(4)      TF        1996Br09       NP A600 272 (96)
68 Er 164     1518       1.0 ps    10+      +3.2(7)      TF        1996Br09       NP A600 272 (96)


68 Er 166     81       1.81 ns     2+     +0.629(10)    ME        1976St23       JPCRD 5 835 (76)
68 Er 166     265      118 ps      4+      +1.1(2)      TF        1996Br09       NP A600 272 (96)
68 Er 166     545      15.0 ps     6+      +1.7(3)      TF        1996Br09       NP A600 272 (96)
68 Er 166     786       3.1 ps     2+     +0.74(11)     TF        1996Br09       NP A600 272 (96)
