Nucleus      Ex   T1/2      Jπ       m(nm)             Method      NSR_Keynumber       Journal_Reference
26 Fe 55     1408      37.9 ps    7/2-      -2.4(5)      TDPAD      1973Ke03       CJP 51 707 (73)


26 Fe 56     847       6.1 ps     2+       1.02(11)      TF        2009Ea01      PR C79 024303 (09)


26 Fe 57     14        98 ns     3/2-    -0.15531(18)    ME        1965Pe15       PR 140 A875 (65)
26 Fe 57     136       8.7 ns    5/2-    +0.935(10)     TDPAD      1979Fa07        PS 20 163 (79)




18
Nucleus    Ex (keV)    T1/2        I        munm      Method   NSR Keynumber     Journal Reference
"26 Fe 58     811      6.5 ps      2+       +0.94(5)    TF, R      2009Ea02       PR C79 024304 (09)"


26 Fe 61     862      238 ns    (9/2+)    -1.031(9)    TDPAD      2004Ma80      PRL 93 142503 (2004)


27 Co 57    1378      19 ps      3/2-      +3.0(6)     IPAD       1970Va10        ZP 233 477 (70)


27 Co 58     53       10.5 mus     4+      +4.184(8)    TDPAD      1970Be33        NP A151 193 (70)
27 Co 58     111      0.14 ns     3+       +2.2(4)     IPAD       1972Ha61        NP A194 249 (72)


27 Co 59    1292      551 ps     3/2-     +2.54(12)    IPAC       1974Ba08          PS 9 79 (74)


28 Ni 58    1454      0.65 ps     2+      +0.076(17)    TF        2001Ke02         PR C63 021302


28 Ni 59     339      68 ps      5/2-     +0.35(15)    IPAD       1974We05        CJP 52 1137 (74)


28 Ni 60    1332      0.74 ps     2+       +0.32(6)     TF        2001Ke02         PR C63 021302


28 Ni 61     67       5.34 ns    5/2-     +0.480(6)     ME        1971Go31       ZNat 26a 1931 (71)


28 Ni 62    1173      1.45 ps     2+       +0.33(5)     TF        2001Ke02         PR C63 021302


28 Ni 63     87       1.67 mus    5/2-     +0.752(3)    TDPAD      1970Bl06         PL 32B 41 (70)
28 Ni 63     1292      3.3 ps    (9/2)+    -1.211(13)   TDPAD          L           PR B40 7633 (89)


28 Ni 64    1346      1.09 ps     2+       +0.37(6)     TF        2001Ke02       PR C63 021302 (01)


28 Ni 65    1017      25.6 ns    9/2+     -1.332(14)   TDPAD      2005Ge09      JPhys G31 S1439 (05)


28 Ni 67    1007      13 mus     (9/2+)     0.56(3)     TDPAD      2002Ge16        JP G28 2993 (02)


29 Cu 62     41       4.6 ns      2+      +1.10(10)    TDPAC      1993Lo10         HFI 77 103 (93)
29 Cu 62     390      11 ns       4+      +2.67(16)    TDPAD      1973Bl07        ZP 263 169 (73)


29 Cu 63    4498      4.1 ns    17/2+     +1.56(10)    IPAD       1983Ka24        NP A406 533 (83)


29 Cu 64    1594      20.4 ns     6-       +1.06(3)    TDPAD      1972Bl16        NP A197 620 (72)


29 Cu 65    1115      0.28 ps    5/2-      +4.5(9)     IPAD       1979Da20        IzF 43 2148 (79)


29 Cu 66    1154      0.60 mus     6-      +1.038(3)    TDPAD      1972Bl16        NP A197 620 (72)


29 Cu 68     84       7.84 ns     2+       2.857(6)    TDPAC      2016Fe08      EPL 115 62002 (2016)


29 Cu 69    2742      0.36 mus   (13/2+)    1.61(6)     TDPAD      2016Ku11      PR C93 054313 (2016)


30 Zn 62     954      2.9 ps      2+       +0.7(2)      TF        2002Ke02       PR C65 034308 (02)




19
Nucleus    Ex (keV)    T1/2        I       munm      Method   NSR Keynumber     Journal Reference
30 Zn 64     992      1.94 ps     2+     +0.89(14)     TF        2005Le12      PR C71 034303 (2005)
30 Zn 64     2307      0.78 ps     4+      +2.0(6)      TF        2005Le12      PR C71 034303 (2005)
30 Zn 64     2999      0.15 ps     3+      +1.5(9)      TF        2005Le12      PR C71 034303 (2005)
30 Zn 64     4635       94 ps      7-       1.6(3)     RIGV       1983Ba69        ZP A314 55 (83)


30 Zn 65     115      444 ps     3/2-     -0.8(2)     IPAD       1975We08        NP A241 332 (75)
30 Zn 65     207      150 ps     3/2-     +0.7(3)     IPAD       1975We08        NP A241 332 (75)
30 Zn 65     1066      0.57 ns    9/2+      1.1(2)     IPAD       1992Be51        CJP 53 2544 (75)


30 Zn 66    1039      1.68 ps     2+     +1.06(16)     TF        2006Le24       PR C73 064305 (10)
30 Zn 66    2451      0.76 ps     4+      +2.2(8)      TF        2010Mo14      PR C82 014301 (2010)
30 Zn 66    2826      0.18 ps     3-      +2.1(9)      TF        2006Le24       PR C73 064305 (10)
30 Zn 66    4076       30 ps      6-       0.9(2)     RIGV       1983Ba69        ZP A314 55 (83)
30 Zn 66    4252      133 ps      7-       1.0(2)     RIGV       1983Ba69        ZP A314 55 (83)


30 Zn 67     93        9.1 mus    1/2-    +0.587(11)    ME        1988Ik02        PR B38 6380 (88)
30 Zn 67     185      1.04 ns    3/2-     +0.50(6)    IPAC       1969Bo41       APPo 36 1065 (69)
30 Zn 67     604      333 ns     9/2+    -1.097(9)    TDPAD      1973Be56        NP A215 486 (73)


30 Zn 68    1077      1.61 ps     2+     +1.08(16)     TF        2010Mo14      PR C82 014301 (2010)
30 Zn 68    1883       1.0 ps     2+      +1.1(2)      TF        2010Mo14      PR C82 014301 (2010)
30 Zn 68    2417      0.73 ps     4+      +0.6(6)      TF        2010Mo14      PR C82 014301 (2010)
PR C75 021302(R)
30 Zn 68    2750      0.26 ps     3-      +1.2(16)     TF        2007Bo04 (07)



30 Zn 70     885       3.7 ps     2+     +0.76(12)     TF        2009Mu06       PR C79 054310 (09)
30 Zn 70     1759       1.9 ps     2+      +0.8(4)      TF        2010Mo14      PR C82 014301 (2010)
30 Zn 70     1786       1.9 ps     4+      +0.8(5)      TF        2010Mo14      PR C82 014301 (2010)


30 Zn 72     653       14 ps      2+      +0.9(3)      TF         2014Il02      PR C89 054316 (14)


